Продукт,Калорийность,Белки,Жиры,Углеводы
Десерт Макфлурри с шоколадно-вафельной крошкой [Макдоналдс],280 кКал,6 г,8 г,40 г
Десерт Маффин с чёрной смородиной [Макдоналдс],470 кКал,7 г,31 г,40 г
Десерт Маффин с шоколадом [Макдоналдс],480 кКал,7 г,32 г,41 г
Десерт Мороженое с карамелью [Макдоналдс],335 кКал,5 г,9 г,58 г
Десерт Мороженое с клубникой [Макдоналдс],275 кКал,5 г,7 г,48 г
Десерт Мороженое с шоколадом [Макдоналдс],325 кКал,6 г,11 г,50 г
Десерт Мусс Шоколадный [Макдоналдс],353 кКал,"3,1 г",24 г,29 г
Десерт Спелая Вишня с Бисквитом [Макдоналдс],280 кКал,"3,8 г","6,8 г",51 г
Джем Клубничный [Макдоналдс],240 кКал,0 г,0 г,60 г
Дикая Клюква [Макдоналдс],198 кКал,0 г,"4,2 г",40 г
Донат [Макдоналдс],263 кКал,"2,5 г",15 г,28 г
Донат с Шоколадным Кремом [Макдоналдс],371 кКал,"3,8 г",23 г,37 г
Завтрак двойной МакМаффин с яйцом и свиной котлетой [Макдоналдс],615 кКал,39 г,33 г,41 г
Завтрак двойной Фреш МакМаффин [Макдоналдс],550 кКал,28 г,36 г,29 г
Завтрак МакМаффин с яйцом и беконом [Макдоналдс],305 кКал,18 г,14 г,26 г
Завтрак МакМаффин с яйцом и свиной котлетой [Макдоналдс],425 кКал,26 г,21 г,33 г
Завтрак МакМаффин с яйцом и сыром [Макдоналдс],275 кКал,16 г,12 г,26 г
Завтрак МакМаффин со свиной котлетой [Макдоналдс],345 кКал,19 г,15 г,33 г
Завтрак МакТост [Макдоналдс],235 кКал,11 г,9 г,28 г
Завтрак МакТост с ветчиной [Макдоналдс],260 кКал,14 г,10 г,28 г
Завтрак Фреш МакМаффин [Макдоналдс],380 кКал,19 г,18 г,35 г
Завтрак Хашбраун [Макдоналдс],140 кКал,1 г,8 г,16 г
Завтрак Чикен Фреш МакМаффин [Макдоналдс],355 кКал,13 г,15 г,42 г
Заправка Цезарь [Макдоналдс],125 кКал,"1,8 г",11 г,"3,7 г"
Згапари [Макдоналдс],367 кКал,"9,7 г",19 г,39 г
Кантрибургер [Макдоналдс],306 кКал,15 г,11 г,36 г
"Капучино (0,2 L) [Макдоналдс]",78 кКал,"3,6 г","4,4 г","5,9 г"
