Продукт,Калорийность,Белки,Жиры,Углеводы
"Йогурт Нежный с Соком Лесных Ягод 1,2% [Campina]",85 кКал,"2,5 г","1,2 г",16 г
Йогурт Нежный с Соком Малины и Земляники [Campina],85 кКал,"2,5 г","1,2 г",16 г
Йогурт Нежный с Соком Персика [Campina],85 кКал,"2,5 г","1,2 г",16 г
"Йогурт Нежный с Соком Персика 0,1% [Campina]",75 кКал,"2,5 г","0,1 г",16 г
Йогурт Нежный с Ягодами Черники [Campina],100 кКал,"2,5 г","2,5 г",17 г
Йогурт Нежный Сливочный с Соком Абрикоса и Манго [Campina],120 кКал,"2,4 г",5 г,16 г
Йогурт Нежный Сливочный с Соком Клубники [Campina],120 кКал,"2,4 г",5 г,16 г
Йогурт Нежный Сливочный с Соком Персика [Campina],120 кКал,"2,4 г",5 г,16 г
Йогурт Нежный Ягодное Мороженое [Campina],85 кКал,"2,5 г","1,2 г",16 г
Йогурт Питьевой [Campina],64 кКал,"1,4 г","0,1 г","14,1 г"
Йогурт Питьевой Нежный с Соком Клубники [Campina],50 кКал,"1,5 г","0,1 г",11 г
Йогурт с Соком Клубники [Campina],60 кКал,"1,4 г","0,1 г",14 г
Йогурт с Соком Лесных Ягод [Campina],64 кКал,"1,4 г","0,1 г","14,1 г"
Йогурт Суперэкстра [Campina],146 кКал,"2,1 г",8 г,"16,4 г"
Молоко Питьевое Стерилизованное для Кофе 5% [Campina],73 кКал,"2,6 г",5 г,"4,5 г"
"Напиток Йогуртный ""Нежный"" [Campina]",60 кКал,"1,4 г","0,1 г",14 г
Нежный Груша в Карамели [Campina],85 кКал,"2,5 г","1,2 г",16 г
Нежный Йогурт [Campina],75 кКал,"2,5 г","0,1 г",16 г
Нежный Пудинг Ванильный [Campina],97 кКал,"1,9 г","2,4 г",17 г
Нежный Пудинг Шоколадный [Campina],100 кКал,"2,2 г","2,5 г",17 г
Нежный с Пюре Яблока и Абрикоса [Campina],82 кКал,"2,4 г","0,1 г","17,8 г"
Нежный с Соком Абрикоса и Манго [Campina],50 кКал,"1,5 г","0,1 г",11 г
Нежный с Соком Арбуза [Campina],50 кКал,"1,5 г","0,1 г",11 г
Нежный с Соком Вишни [Campina],85 кКал,"2,5 г","1,2 г",16 г
Нежный с Соком Граната и Малины [Campina],64 кКал,"1,4 г","0,1 г","14,2 г"
Нежный с Соком Клубники [Campina],85 кКал,"2,5 г","1,2 г",16 г
Нежный с Соком Лесных Ягод [Campina],50 кКал,"1,5 г","0,1 г",11 г
Нежный с Соком Малины и Земляники [Campina],50 кКал,"1,5 г","0,1 г",11 г
Нежный Сливочный с Соком Малины и Земляники [Campina],120 кКал,"2,4 г",5 г,16 г
Питьевой Йогурт Нежный [Campina],60 кКал,"1,4 г","0,1 г",14 г
"Продукт Йогуртный ""Нежный"" с Соком Клубники [Campina]",94 кКал,"2,5 г","1,2 г","18,1 г"
Продукт Йогуртный Нежный [Campina],95 кКал,"2,5 г","1,2 г",18 г
Продукт Йогуртный с Соком Лесных Ягод Нежный [Campina],85 кКал,"2,5 г","1,2 г",16 г
Пудинг Молочный Ванильный со Взбитыми Сливками [Campina],94 кКал,3 г,"1,2 г",18 г
Пудинг Молочный Шоколадный со Взбитыми Сливками [Campina],97 кКал,"3,1 г","1,3 г",18 г
Пудинг Нежный Карамельный [Campina],108 кКал,"2,9 г","2,3 г",19 г
Сливки 10% [Campina],120 кКал,"2,8 г",10 г,"4,4 г"
Сливки 10% [Campina],12 кКал,"0,3 г",1 г,"0,4 г"
Сливки 5% [Campina],73 кКал,"2,6 г",5 г,"4,5 г"
Сливки 8% [Campina],100 кКал,"2,6 г",8 г,"4,5 г"
Сливки для Кофе [Campina],120 кКал,"2,8 г",10 г,"4,4 г"
Сливки для Кофе 10% [Campina],12 кКал,"0,3 г",1 г,"0,4 г"
Сливки для Кофе Light 5% [Campina],73 кКал,"2,6 г",5 г,"4,5 г"
"Сливки для Кофе со Вкусом ""Корица"" [Campina]",100 кКал,"2,6 г",8 г,"4,5 г"
Сливки Питьевые Стерилизованные [Campina],12 кКал,"0,3 г",1 г,"0,5 г"
Сливки Порционные [Campina],12 кКал,"0,3 г",1 г,"0,5 г"
Шоколадный Пудинг [Campina],100 кКал,"2,2 г","2,5 г",17 г
